Brand ID,Brand Name,Target Audience Age,Target Audience Gender,Target Audience Location,Marketing Goals,Previous Sponsorship Activities
B001,Nike,13-35,all,Worldwide,"Showcase Nike's athletic apparel, shoes, and inspirational stories",Partnered with fitness and sports influencers on TikTok to showcase Nike products and promote a healthy and active lifestyle
B002,Coca-Cola,All,all,Worldwide,Highlight Coca-Cola's refreshing beverages and engaging marketing campaigns,"Collaborated with popular TikTok creators to showcase Coca-Cola products, create catchy ads, and run campaigns that encourage user participation"
B003,McDonald's,All,all,Worldwide,Showcase McDonald's delicious food offerings and fun experiences,"Collaborated with food creators on TikTok to showcase McDonald's menu items, running food challenges to engage the audience and create buzz"
B004,Apple,18-45,all,Worldwide,Promote Apple's latest products and technology innovations,Collaborated with tech enthusiasts and creators on TikTok to showcase Apple products and highlight innovative features
B005,Amazon,18-45,all,Worldwide,Highlight Amazon's wide range of products and convenient shopping experience,Collaborated with lifestyle and review influencers on TikTok to showcase Amazon products and run engaging campaigns that drive user traffic
B006,Samsung,18-45,all,Worldwide,"Promote Samsung's smartphones, TVs, and home appliances","Partnered with tech and lifestyle influencers on TikTok to showcase Samsung products, highlight unique features, and run interactive campaigns"
B007,Starbucks,All,all,Worldwide,"Showcase Starbucks' coffee, beverages, and cozy cafe experiences","Collaborated with coffee and lifestyle creators on TikTok to showcase Starbucks drinks, encourage user participation in fun challenges, and share cafe experiences"
B008,Adidas,13-35,all,Worldwide,"Highlight Adidas' athletic wear, shoes, and lifestyle products","Partnered with fitness and fashion influencers on TikTok to showcase Adidas products, create trendy content, and encourage user engagement"
B009,Netflix,18-45,all,Worldwide,"Promote Netflix's original shows, movies, and exclusive content","Collaborated with entertainment enthusiasts on TikTok to create content related to Netflix shows, encourage user discussions, and promote new releases"
B010,Spotify,18-34,all,Worldwide,Promote Spotify's music streaming service and personalized playlists,"Collaborated with music and dance creators on TikTok to promote Spotify playlists, run music challenges that encourage user engagement"
B011,Pepsi,All,all,Worldwide,Highlight Pepsi's refreshing beverages and engaging marketing campaigns,"Collaborated with popular TikTok creators to showcase Pepsi products, create catchy ads, and run campaigns that encourage user participation"
B012,MAC Cosmetics,18-34,all,Worldwide,Promote MAC Cosmetics' makeup and beauty products,Partnered with makeup artists and beauty influencers on TikTok to create stunning makeup looks using MAC Cosmetics' products
