Creator ID,Creator Name,Username,Content,Followers,Likes,Comments,Shares,Views,Audience Age,Audience Gender,Audience Location,Video URL,Visual_Features
1,Charlie D'Amelio,@charliedamelio,dance videos,150500000,11400000000,4500000,900000,200000000,13-24,female,United States,"https://www.tiktok.com/@charlidamelio/video/6987104648658160902, https://www.tiktok.com/@charlidamelio/video/6989324779073391878, https://www.tiktok.com/@charlidamelio/video/6990889807316618501",
2,Addison Rae,@addisonrae,"dance videos, lifestyle ",88700000,5800000000,1800000,300000,80000000,13-24,female,United States,"https://www.tiktok.com/@addisonre/video/7227253808311848238?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@addisonre/video/7111802298107546922?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@addisonre/video/6964823933182856453?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518",
3,Bella Poarch,@bellapoarch,"lip syncing, dance videos",92800000,2300000000,900000,150000,30000000,13-24,"male, female",United States,"https://www.tiktok.com/@bellapoarch/video/7133254229153811758?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@bellapoarch/video/7138141979262602542?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518",
4,Spencer X,@spencerx,beatboxing,55300000,1300000000,350000,75000,15000000,13-24,male,United States,"https://www.tiktok.com/@spencerx/video/7072904101738253614?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@spencerx/video/7029756678270881071?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518",
5,Michael Le,@justmaiko,"dance videos, comedy sketches",52100000,1400000000,450000,100000,18000000,13-24,"male, female",United States,"https://www.tiktok.com/@justmaiko/video/7136267192022256942?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@justmaiko/video/7129585788269907246?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518",
6,Dixie D'Amelio,@dixiedamelio,"dance videos, vlogs",57200000,3300000000,1000000,200000,50000000,13-24,female,United States,"https://www.tiktok.com/@dixiedamelio/video/7211274871098068267?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@dixiedamelio/video/7208221318796414254?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@dixiedamelio/video/7203429714416143662",
7,Tony Lopez,@tonylopez,"dance videos, comedy sketches",23200000,1200000000,350000,75000,15000000,13-24,"male, female",United States,https://www.tiktok.com/@tonylopez/video/7190897680909028654,
8,Larray,@larrayeeee,"comedy sketches, parodies",26700000,816900000,250000,50000,10000000,13-24,"male, female",United States,"https://www.tiktok.com/@larrayeeee/video/7175303831671033131?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@larrayeeee/video/7164807064043146542?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518",
9,Zach King,@zachking,"magic tricks, video editing",75800000,100000000,35000,10000,500000,13-24,"male, female",United States,"https://www.tiktok.com/@zachking/video/7152149671228689710?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@zachking/video/6995540874885205254?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518",
10,Jason Derulo,@jasonderulo,"music, dance vidoes",57800000,1200000000,400000,80000,18000000,13-24,"male, female",United States,"https://www.tiktok.com/@jasonderulo/video/7195333639134137642?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@jasonderulo/video/6906674494929177861?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518",
11,Khaby Lame,@khaby.lame,"comedy sketches, reaction videos",157100000,2300000000,700000,130000,35000000,13-24,"male, female",United States,https://www.tiktok.com/@khaby.lame/video/7012302212135259398?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518,
12,James Charles,@jamescharles,"makeup tutorials, beauty content",37600000,1100000000,300000,60000,15000000,13-24,"male, female",United States,"https://www.tiktok.com/@jamescharles/video/7226056607971527978?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, ",
13,Noah Beck,@noahbeck,"vlogs, lifestyle content",34000000,2400000000,600000,120000,30000000,13-24,female,United States,https://www.tiktok.com/@noahbeck/video/7156081629503655214?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518,
14,Joja Siwa,@itsjojasiwa,"music, dance vidoes",45900000,1800000000,500000,100000,20000000,13-24,female,United States,"https://www.tiktok.com/@itsjojosiwa/video/7104296644102868266?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@itsjojosiwa/video/7042026634966289710?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518",
15,Loren Gray,@lorengray,"music, lifestyle ",54400000,300000000,50000,10000,1000000,13-24,"male, female",United States,"https://www.tiktok.com/@lorengray/video/7117686211883535662?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@lorengray/video/6897232009878326533?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518",
16,David Dobrik,@daviddobrik,"vlogs, comedy sketches",26300000,1300000000,130000,450000,9000000,13-24,"male, female",United States,"https://www.tiktok.com/@daviddobrik/video/7083595688080100650?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518, https://www.tiktok.com/@daviddobrik/video/6925918874315672837?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518",
17,Nikkie de Jager,@nikkietutorials,"makeup tutorials, beauty content",7100000,179100000,50000,200000,4000000,18-34,female,United States,https://www.tiktok.com/@nikkietutorials/video/7023067210797092102,
18,Brent Rivera,@brentrivera,"comedy sketches, vlogs",46700000,1500000000,90000,350000,7000000,13-24,"male, female",United States,https://www.tiktok.com/@brentrivera/video/7039870513404972334?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518,
19,Lele Pons,@lelepons,"comedy sketches, vlogs",31200000,678300000,120000,400000,8000000,18-24,"male, female",United States,https://www.tiktok.com/@lelepons/video/7025645843369872687?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518,
20,Avani Gregg,@avani,"dance videos, beauty content",43100000,300000000,70000,250000,5000000,13-17,"male, female",United States,https://www.tiktok.com/@avani/video/7211687384377838890?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518,
21,Josh Richards,@joshrichards,"dance videos, vlogs",26000000,1900000000,85000,300000,6000000,18-24,"male, female",United States,https://www.tiktok.com/@joshrichards/video/7075778682152963371?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518,
22,Huddy,@huddy,"dance videos, comedy sketches",31900000,1700000000,80000,280000,5600000,18-24,"male, female",United States,https://www.tiktok.com/@huddy/video/7147058519861120299?is_from_webapp=1&sender_device=pc&web_id=7226946925346473518,
