Creator Name,dance videos,comedy sketches,makeup tutorials,lifestyle,lip syncing,beatboxing,vlogs,parodies,magic tricks,video editing,music,reaction videos,beauty content,Creator ID,Username,Content,Followers,Likes,Comments,Shares,Views,Audience Age,Audience Gender,Audience Location,Video URL,Visual_Features
Charlie D'Amelio,1.0,0.5069052,0.52344507,0.38772207,0.25130644,0.30332696,0.3729839,0.28466886,0.4131291,0.69947326,0.6709087,0.70730186,0.54453176,1,@charliedamelio,dance videos,150500000,11400000000,4500000,900000,200000000,13-24,female,United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/CharlieDmelio1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/CharlieDmelio2.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/CharlieDmelio3.mp4']","[array([0.3253895 , 0.2799853 , 0.3781542 , ..., 0.41571844, 0.5324778 ,
       0.2466604 ], dtype=float32), array([0.17917807, 0.30341613, 0.275873  , ..., 0.26051807, 0.7138151 ,
       0.7371612 ], dtype=float32), array([0.4472446 , 0.37456366, 0.302593  , ..., 0.73732847, 0.33345377,
       0.38643172], dtype=float32)]"
Addison Rae,0.94015026,0.488856,0.56843644,0.6786214,0.21822268,0.31018317,0.4044525,0.2273931,0.4069784,0.6616254,0.6575067,0.6967991,0.65980875,2,@addisonrae,"dance videos, lifestyle ",88700000,5800000000,1800000,300000,80000000,13-24,female,United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/addisonrae1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/addisonrae2.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/addisonrae3.mp4']","[array([0.36046156, 0.40357497, 0.71326995, ..., 0.3521432 , 0.54429644,
       0.31878582], dtype=float32), array([0.13898738, 0.29762787, 0.2028052 , ..., 0.09819131, 0.3229316 ,
       0.31244406], dtype=float32), array([0.6616867 , 0.6847905 , 0.47933787, ..., 0.339561  , 0.25818428,
       0.4934359 ], dtype=float32)]"
Bella Poarch,0.7549007,0.3725423,0.5351023,0.25962025,0.8245031,0.20083207,0.32781872,0.213501,0.37357387,0.53181726,0.48992738,0.52956104,0.4646612,3,@bellapoarch,"lip syncing, dance videos",92800000,2300000000,900000,150000,30000000,13-24,"male, female",United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/bellapoarch1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/bellapoarch2.mp4']","[array([0.18722749, 0.2738665 , 0.46069327, ..., 0.25951985, 0.3867918 ,
       0.7047254 ], dtype=float32), array([0.520298  , 0.43328127, 0.4560835 , ..., 0.2660085 , 0.61543167,
       0.350701  ], dtype=float32)]"
Spencer X,0.30332696,0.22824407,0.1632834,0.18526074,0.034683865,1.0000001,0.07150364,0.090525754,0.26023838,0.17618646,0.23593074,0.11882915,0.105750866,4,@spencerx,beatboxing,55300000,1300000000,350000,75000,15000000,13-24,male,United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/spencerx1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/spencerx2.mp4']","[array([0.30378196, 0.22282079, 0.5883355 , ..., 0.42934665, 0.44146568,
       0.31209853], dtype=float32), array([0.14419666, 0.16592233, 0.2221915 , ..., 0.5121662 , 0.96989876,
       0.28381634], dtype=float32)]"
Michael Le,0.900543,0.8312599,0.49738562,0.3659267,0.2187787,0.3107274,0.34978673,0.49503288,0.4524538,0.6553616,0.6646994,0.64085937,0.50455046,5,@justmaiko,"dance videos, comedy sketches",52100000,1400000000,450000,100000,18000000,13-24,"male, female",United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/michaelle1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/michaelle2.mp4']","[array([0.30977014, 0.2719086 , 0.44878256, ..., 0.3534882 , 0.49420315,
       0.33007458], dtype=float32), array([0.32567438, 0.2913455 , 0.43486476, ..., 0.32646793, 0.59574455,
       0.26182818], dtype=float32)]"
Dixie D'Amelio,0.91175425,0.4743718,0.6017578,0.4179215,0.25934777,0.25812975,0.7211662,0.27932256,0.40611562,0.6999156,0.594341,0.70590585,0.5954286,6,@dixiedamelio,"dance videos, vlogs",57200000,3300000000,1000000,200000,50000000,13-24,female,United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/dixiedmelio1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/dixiedmelio2.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/dixiedmelio3.mp4']","[array([0.5516852, 0.3773355, 0.6615034, ..., 0.3356865, 0.6447476,
       0.4819514], dtype=float32), array([0.59547204, 0.33724102, 0.1099203 , ..., 0.346     , 0.4196049 ,
       0.17516164], dtype=float32), array([0.3826041 , 0.3916217 , 0.6635389 , ..., 0.38529277, 0.4888853 ,
       0.5529902 ], dtype=float32)]"
Tony Lopez,0.900543,0.8312599,0.49738562,0.3659267,0.2187787,0.3107274,0.34978673,0.49503288,0.4524538,0.6553616,0.6646994,0.64085937,0.50455046,7,@tonylopez,"dance videos, comedy sketches",23200000,1200000000,350000,75000,15000000,13-24,"male, female",United States,['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/tonylopez1.mp4'],"[array([0.18837948, 0.17080617, 0.2767955 , ..., 0.07324162, 0.79588026,
       0.23859683], dtype=float32)]"
Larray,0.4753581,0.9581281,0.25101793,0.16905926,0.107757315,0.20033243,0.21377066,0.8168836,0.32002804,0.39261678,0.4522831,0.34693047,0.25238997,8,@larrayeeee,"comedy sketches, parodies",26700000,816900000,250000,50000,10000000,13-24,"male, female",United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/larry1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/larry2.mp4']","[array([0.41189486, 0.28352395, 0.6607804 , ..., 0.37791255, 0.64939386,
       0.43927476], dtype=float32), array([0.38077134, 0.41486436, 0.48464543, ..., 0.40825394, 0.550473  ,
       0.5198644 ], dtype=float32)]"
Zach King,0.7141592,0.48682824,0.60153276,0.31276655,0.23479499,0.2681853,0.40046236,0.25735325,0.7495798,0.8386424,0.47140604,0.65337026,0.580869,9,@zachking,"magic tricks, video editing",75800000,100000000,35000,10000,500000,13-24,"male, female",United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/zachking1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/zachking2.mp4']","[array([0.4064864 , 0.24152237, 0.33573058, ..., 0.3766427 , 0.70539   ,
       0.7536804 ], dtype=float32), array([0.34836587, 0.21574943, 0.58502257, ..., 0.1373895 , 0.6444907 ,
       0.30978495], dtype=float32)]"
Jason Derulo,0.7134528,0.4174683,0.3747967,0.43260777,0.21944015,0.261862,0.19867148,0.23125252,0.40317988,0.44503626,0.7859009,0.44274995,0.5146144,10,@jasonderulo,"music, dance vidoes",57800000,1200000000,400000,80000,18000000,13-24,"male, female",United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/jasonderulo1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/jasonderulo2.mp4']","[array([0.89339733, 0.41395846, 0.47449198, ..., 0.40353358, 0.2545757 ,
       0.24875417], dtype=float32), array([0.2900495 , 0.52838016, 0.89405274, ..., 0.3470528 , 0.96899414,
       0.23556374], dtype=float32)]"
