Creator Name,Top Brands,Similarity Scores
Charlie D'Amelio,"['New Balance', 'Gucci Beauty', ""Victoria's Secret"", 'Chanel Beauty', 'Burberry']","[-0.055406541457534944, -0.055406541457534944, -0.055406541457534944, -0.055406541457534944, -0.05559086053082163]"
Addison Rae,"['New Balance', 'Gucci Beauty', ""Victoria's Secret"", 'Chanel Beauty', 'Burberry']","[-0.09953537555169356, -0.09953537555169356, -0.09953537555169356, -0.09953537555169356, -0.09986649652943934]"
Bella Poarch,"['Adidas', 'Nike', 'BMW USA', 'LEGO', 'Zara']","[0.05940063296045387, 0.05920103488161677, 0.05920103488161677, 0.05920103488161677, 0.05920103488161677]"
Spencer X,"['Adidas', 'Nike', 'Disney Channel', 'H&M', 'Red Bull']","[0.4239749265116186, 0.42255028544991213, 0.42255028544991213, 0.42255028544991213, 0.42255028544991213]"
Michael Le,"[""Victoria's Secret"", 'New Balance', 'Chanel Beauty', 'Gucci Beauty', 'MAC Cosmetics']","[-0.10970674526872766, -0.10970674526872766, -0.10970674526872766, -0.10970674526872766, -0.11007170299915613]"
Dixie D'Amelio,"['New Balance', 'Gucci Beauty', ""Victoria's Secret"", 'Chanel Beauty', 'Burberry']","[-0.10017849387299567, -0.10017849387299567, -0.10017849387299567, -0.10017849387299567, -0.10051175429077647]"
Tony Lopez,"[""Victoria's Secret"", 'New Balance', 'Chanel Beauty', 'Gucci Beauty', 'MAC Cosmetics']","[-0.1140276496936724, -0.1140276496936724, -0.1140276496936724, -0.1140276496936724, -0.11440698163116043]"
Larray,"['Adidas', 'Nike', 'Disney Channel', 'H&M', 'Red Bull']","[0.23140987885402073, 0.23063229509874428, 0.23063229509874428, 0.23063229509874428, 0.23063229509874428]"
Zach King,"['New Balance', 'Gucci Beauty', ""Victoria's Secret"", 'Chanel Beauty', 'Burberry']","[-0.15519842310177762, -0.15519842310177762, -0.15519842310177762, -0.15519842310177762, -0.1557147164629794]"
Jason Derulo,"['Adidas', 'Nike', 'Disney Channel', 'H&M', 'Red Bull']","[0.08127956578668157, 0.08100645009125562, 0.08100645009125562, 0.08100645009125562, 0.08100645009125562]"
Khaby Lame,"['New Balance', 'Gucci Beauty', ""Victoria's Secret"", 'Chanel Beauty', 'Burberry']","[-0.07408611323162002, -0.07408611323162002, -0.07408611323162002, -0.07408611323162002, -0.07433257300649573]"
James Charles,"['New Balance', 'Gucci Beauty', ""Victoria's Secret"", 'Chanel Beauty', 'Burberry']","[-0.07917128479695067, -0.07917128479695067, -0.07917128479695067, -0.07917128479695067, -0.07943466124061256]"
Noah Beck,"['Adidas', 'Nike', 'Disney Channel', 'H&M', 'Red Bull']","[0.056329952507948686, 0.05614067253328818, 0.05614067253328818, 0.05614067253328818, 0.05614067253328818]"
Joja Siwa,"['Adidas', 'Nike', 'BMW USA', 'LEGO', 'Zara']","[0.09642756002046178, 0.09610354401645985, 0.09610354401645985, 0.09610354401645985, 0.09610354401645985]"
Loren Gray,"['Adidas', 'Nike', 'Disney Channel', 'H&M', 'Red Bull']","[0.02211864778464171, 0.0220443246775592, 0.0220443246775592, 0.0220443246775592, 0.0220443246775592]"
David Dobrik,"['Adidas', 'Nike', 'Disney Channel', 'H&M', 'Red Bull']","[0.0396307934889087, 0.039497626048614905, 0.039497626048614905, 0.039497626048614905, 0.039497626048614905]"
Nikkie de Jager,"['New Balance', 'Gucci Beauty', ""Victoria's Secret"", 'Chanel Beauty', 'Burberry']","[-0.036724372886857114, -0.036724372886857114, -0.036724372886857114, -0.036724372886857114, -0.03684654261987913]"
Brent Rivera,"['Adidas', 'Nike', 'Disney Channel', 'H&M', 'Red Bull']","[0.03726364296324022, 0.037138429625010544, 0.037138429625010544, 0.037138429625010544, 0.037138429625010544]"
Lele Pons,"['Adidas', 'Nike', 'BMW USA', 'LEGO', 'Zara']","[0.057733854917575766, 0.05753985754833764, 0.05753985754833764, 0.05753985754833764, 0.05753985754833764]"
Avani Gregg,"['New Balance', 'Gucci Beauty', ""Victoria's Secret"", 'Chanel Beauty', 'Burberry']","[-0.16626966471724228, -0.16626966471724228, -0.16626966471724228, -0.16626966471724228, -0.16682278840462966]"
Josh Richards,"['New Balance', 'Gucci Beauty', ""Victoria's Secret"", 'Chanel Beauty', 'Burberry']","[-0.1273400974921644, -0.1273400974921644, -0.1273400974921644, -0.1273400974921644, -0.1277637155008788]"
Huddy,"[""Victoria's Secret"", 'New Balance', 'Chanel Beauty', 'Gucci Beauty', 'MAC Cosmetics']","[-0.11627837856734638, -0.11627837856734638, -0.11627837856734638, -0.11627837856734638, -0.1166651979286891]"
